iter	Passed	Remaining
0	187	186992
1	208	104278
2	229	76392
3	258	64383
4	287	57162
5	308	51097
6	332	47119
7	364	45228
8	387	42668
9	430	42578
10	478	42978
11	526	43341
12	556	42248
13	655	46183
14	713	46870
15	753	46365
16	777	44939
17	798	43536
18	825	42610
19	863	42331
20	992	46284
21	1023	45521
22	1046	44432
23	1124	45723
24	1174	45801
25	1208	45276
26	1256	45288
27	1338	46465
28	1423	47649
29	1460	47237
30	1511	47257
31	1547	46812
32	1581	46330
33	1605	45620
34	1633	45049
35	1658	44418
36	1736	45192
37	1777	45005
38	1817	44783
39	1842	44224
40	1872	43797
41	1902	43384
42	1923	42819
43	1950	42384
44	1973	41889
45	2001	41502
46	2019	40947
47	2041	40489
48	2067	40118
49	2087	39663
50	2111	39281
51	2133	38894
52	2158	38565
53	2183	38244
54	2213	38029
55	2235	37675
56	2257	37350
57	2282	37063
58	2307	36801
59	2332	36544
60	2353	36233
61	2379	36005
62	2407	35811
63	2430	35548
64	2452	35281
65	2494	35300
66	2515	35025
67	2540	34817
68	2567	34643
69	2598	34517
70	2619	34277
71	2648	34134
72	2675	33976
73	2711	33935
74	2736	33749
75	2762	33588
76	2782	33352
77	2808	33192
78	2832	33025
79	2852	32805
80	2881	32696
81	2910	32581
82	2932	32396
83	2959	32277
84	2988	32174
85	3013	32024
86	3035	31852
87	3058	31695
88	3080	31531
89	3107	31422
90	3129	31257
91	3147	31066
92	3171	30935
93	3194	30793
94	3216	30640
95	3239	30507
96	3265	30398
97	3291	30295
98	3314	30162
99	3338	30048
100	3366	29961
101	3391	29855
102	3415	29744
103	3440	29642
104	3466	29545
105	3492	29456
106	3524	29413
107	3547	29297
108	3571	29195
109	3594	29081
110	3621	29003
111	3654	28975
112	3697	29021
113	3739	29062
114	3785	29132
115	3844	29294
116	3868	29193
117	3895	29115
118	3926	29072
119	3962	29057
120	3990	28989
121	4012	28877
122	4038	28793
123	4071	28766
124	4091	28643
125	4124	28612
126	4153	28551
127	4174	28435
128	4203	28379
129	4222	28260
130	4250	28195
131	4274	28104
132	4293	27987
133	4324	27945
134	4345	27845
135	4374	27787
136	4393	27674
137	4416	27589
138	4441	27511
139	4476	27500
140	4500	27418
141	4521	27322
142	4543	27228
143	4572	27183
144	4608	27172
145	4629	27077
146	4659	27038
147	4692	27011
148	4715	26933
149	4738	26851
150	4760	26763
151	4808	26825
152	4842	26808
153	4867	26741
154	4889	26655
155	4917	26604
156	4938	26518
157	4961	26441
158	4981	26350
159	5017	26344
160	5041	26269
161	5065	26203
162	5087	26124
163	5121	26106
164	5147	26050
165	5169	25973
166	5192	25900
167	5214	25825
168	5238	25760
169	5261	25687
170	5281	25604
171	5308	25554
172	5334	25502
173	5354	25416
174	5380	25364
175	5416	25357
176	5446	25322
177	5471	25266
178	5489	25178
179	5514	25123
180	5536	25050
181	5564	25009
182	5583	24925
183	5607	24865
184	5626	24788
185	5671	24818
186	5691	24746
187	5714	24681
188	5735	24609
189	5757	24544
190	5779	24480
191	5801	24415
192	5839	24416
193	5864	24365
194	5886	24299
195	5912	24254
196	5940	24216
197	5964	24159
198	5983	24083
199	6010	24041
200	6037	23999
201	6060	23941
202	6078	23866
203	6103	23814
204	6134	23791
205	6184	23838
206	6238	23898
207	6271	23878
208	6298	23836
209	6331	23818
210	6370	23820
211	6392	23761
212	6413	23698
213	6456	23715
214	6479	23656
215	6510	23630
216	6532	23569
217	6561	23538
218	6582	23473
219	6604	23415
220	6636	23392
221	6666	23363
222	6694	23325
223	6719	23277
224	6740	23218
225	6766	23173
226	6791	23125
227	6809	23056
228	6833	23007
229	6856	22955
230	6880	22903
231	6902	22848
232	6922	22787
233	6941	22724
234	6977	22713
235	7001	22665
236	7021	22604
237	7040	22541
238	7071	22514
239	7098	22480
240	7118	22418
241	7141	22369
242	7165	22322
243	7193	22287
244	7217	22240
245	7238	22187
246	7263	22143
247	7284	22088
248	7310	22047
249	7333	22001
250	7353	21944
251	7376	21894
252	7405	21864
253	7435	21839
254	7478	21848
255	7501	21801
256	7530	21772
257	7550	21715
258	7576	21675
259	7598	21625
260	7642	21638
261	7676	21621
262	7700	21579
263	7738	21573
264	7765	21536
265	7784	21481
266	7809	21438
267	7838	21410
268	7862	21365
269	7890	21332
270	7911	21281
271	7934	21237
272	7961	21202
273	7981	21147
274	8008	21113
275	8039	21088
276	8063	21045
277	8083	20993
278	8106	20948
279	8129	20903
280	8149	20851
281	8176	20819
282	8197	20769
283	8222	20730
284	8243	20681
285	8275	20659
286	8305	20633
287	8330	20594
288	8352	20548
289	8379	20515
